name,caseCount,status,localSource,implementedBy,requires,examples,notes
"filecontents","3","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/filecontents/filecontents.sty","src/preprocess.js:collectFilecontentsTables","","fileIO plot curves read data fileio plot pgf | fileIO table read data fileio pgf table | fileIO time read data timeline fileio pgf foreach text",""
"fontenc","7","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/base/fontenc.sty","src/preprocess.js:stripTexDocumentShell","","kalman diagram set | nn stacked blocks neuralnet 3d def pgf set style | table color | table comparison many | table comparison med | time snake frames and arrows timeline figure foreach | time vertical multiple on year timeline text environment command learn",""
"forest","3","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/forest/forest.sty","src/extensions/forest.js","","branch and bound | random forest | tree networked game",""
"fourier","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/fourier/fourier.sty","","","time arrows circles timeline pgf set",""
"fp","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/fp/fp.sty","","","Convolutional encoder-decoder architecture",""
"fullpage","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/preprint/fullpage.sty","","","time simple project timeline text foreach learn | time two courses horizontal timeline foreach learn",""
"geometry","36","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/geometry/geometry.sty","src/preprocess.js:stripTexDocumentShell","","3d cube color rotated 3d pgf foreach command define | 3d cubes isometric shaded 3d | class diagram diagram | doc ml cnn | elem cube elem geometry foreach | elem cuboid finer grid elem foreach command | impact os model layers | impact supreme court 2 diagram | mammography bayes diagram | mind children two mindmap | mind children two mindmap | mind computer science mindmap",""
"graphicx","5","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/graphics/graphicx.sty","src/tex-text.js + src/preprocess.js","","table comparison many | table comparison med | time angling text 1 timeline foreach learn | time angling text 2 timeline foreach learn | time two courses horizontal timeline foreach learn",""
"hyperref","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/hyperref/hyperref.sty","","","mind hyperlinks mindmap",""
"ifthen","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/base/ifthen.sty","","","Convolutional encoder-decoder architecture | 3d cube color rotated 3d pgf foreach command define",""
"inputenc","20","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/base/inputenc.sty","src/preprocess.js:stripTexDocumentShell","","colorized equation equation | doc ml cnn | doc ml single cnn | impact supreme court 2 diagram | kalman diagram set | ml feature selection | ml cnn | ml single cnn | nn back propagation neuralnet | nn encoder 2pages 3figs neuralnet | nn stacked blocks neuralnet 3d def pgf set style | porter model diagram",""
"keyval","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/graphics/keyval.sty","","","3d cube color rotated 3d pgf foreach command define",""
"latexsym","6","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/base/latexsym.sty","src/tex-text.js + src/renderer-svg.js","","doc ml cnn | doc ml single cnn | ml cnn | ml single cnn | nn back propagation neuralnet | nn encoder 2pages 3figs neuralnet",""
"lipsum","3","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/lipsum/lipsum.sty","","","impact os model layers | time added dots timeline style text | time long labels timeline text learn",""
"lmodern","2","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/lm/lmodern.sty","src/tikz-metrics.js:TIKZ_FONT_FAMILY","","impact os model layers | kalman diagram set",""
"makecell","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/makecell/makecell.sty","","","fileIO time read data timeline fileio pgf foreach text",""
"mathrsfs","1","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/jknapltx/mathrsfs.sty","src/renderer-svg.js","","geom ellipse on coords geometry pgf def script",""
"mathtools","23","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/mathtools/mathtools.sty","src/math-metrics.js + src/renderer-svg.js + src/preprocess.js:parseDeclareMathOperator","amsmath keyval calc mhsetup","bose einstein distribution 3d | bose einstein distribution | branch cuts 1 | change of variables | complex sign function | complex sign plane | fermi dirac distro | generative adversarial network | grand canonical occupation fluctuations | harmonic oscillator energy vs freq | kohn sham cycle | matsubara contour 1","TeX Live mathtools.sty loads keyval/calc/mhsetup and then amsmath; TikZKit maps the common math-operator layer into TeX-lite/KaTeX and SVG text fallback labels."
"microtype","3","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/microtype/microtype.sty","","","mammography bayes diagram | table comparison many | table comparison med",""
"multirow","3","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/multirow/multirow.sty","","","fileIO table read data fileio pgf table | table comparison many | table comparison med",""
"neuralnetwork","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/neuralnetwork/neuralnetwork.sty","src/extensions/neuralnetwork.js","","autoencoder",""
"pgf","4","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgf/basiclayer/pgf.sty","src/preprocess.js + src/interpreter.js","","geom ellipse on coords geometry pgf def script | nn 04 auto net neuralnet matrix style foreach | nn discriminator neuralnet matrix foreach style | nn generator neuralnet matrix","Only the PGF surface required by current TikZKit cases is interpreted."
"pgfcalendar","313","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgf/utilities/pgfcalendar.sty","src/parser.js noop compatibility","","agronomia | analise covarianca efeitos | anotacoes intersecao | anova one factor null hypothesis | association is not causation | barras erro | barras | bias variance mse | bias variance mse2 | bias variance | bivariate normal | bleasdale nelder rep",""
"pgfgantt","311","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgfgantt/pgfgantt.sty","src/preprocess.js:expandPgfganttCharts","","agronomia | analise covarianca efeitos | anotacoes intersecao | anova one factor null hypothesis | association is not causation | barras erro | barras | bias variance mse | bias variance mse2 | bias variance | bivariate normal | bleasdale nelder rep",""
"pgfmath","4","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgf/math/pgfmath.sty","src/math.js + src/preprocess.js","","ai artificial intelligence aiama arr | ai artificial intelligence jmccarthy arr | ai computational intelligence pool,mackworth arr | impact concentric blocks diagram",""
"pgfplots","371","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgfplots/pgfplots.sty","src/preprocess.js:expandPgfplotsAxes","tikz graphicx","Amplitude modulation / amplitude_modulation | Frequency modulation / frequency_modulation | GMHMM / gmhmm | IQ sampling / iq_sampling | Multiplex chain GMHMM (beta) / multiplex_chain_gmhmm_beta | Multiplex chain GMHMM / multiplex_chain_gmhmm | Sampling / sampling | X LSTM / x lstm | Tikzfxgraph wrapped pgfplots graph | amplitude modulation | bose einstein distribution 3d | bose einstein distribution","TeX Live pgfplots.sty requires graphicx and tikz, then inputs pgfplots.code.tex. TikZKit handles common numeric tick-distance keys in the preprocessor."
"pgfplotstable","314","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/pgfplots/pgfplotstable.sty","src/preprocess.js:collectPgfplotstableReads","pgfplots array","fileIO circles from data | fileIO table read data fileio pgf table | fileIO time read data timeline fileio pgf foreach text | agronomia | analise covarianca efeitos | anotacoes intersecao | anova one factor null hypothesis | association is not causation | barras erro | barras | bias variance mse | bias variance mse2","TeX Live pgfplotstable.sty requires pgfplots, inputs pgfplotstable.code.tex, then requires array."
"pifont","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/psnfss/pifont.sty","","","impact simulation abstraction physics",""
"preview","36","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/preview/preview.sty","src/preprocess.js:stripTexDocumentShell","","3d cylinder planes 3d | 3d hypersurface 3 | 3d physics jet cones 3d physics | 3d seismic focal mechanism 3d set foreach eng | class diagram diagram | cylinder with two parameters geometry style learn | elem cube elem geometry foreach | elem physics example atom elem physics | elem transparent circles multi pgf set | flow direction of arrival diagram matrrix table | flow easy flowchart diagram | flow labs class diagram style pgf command",""
"PTSansNarrow","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/paratype/PTSansNarrow.sty","","","table color",""
"ragged2e","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/ragged2e/ragged2e.sty","","","time arrows circles timeline pgf set",""
"relsize","4","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/relsize/relsize.sty","src/tex-text.js","","Dropout / dropout | Hierarchical graph classifier / hierarchical_graph_classifier | X LSTM / x lstm | plot curves is lm plot command",""
"showframe","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/eso-pic/showframe.sty","","","positioning blocks diagram foreach scope set frame",""
"sidecap","3","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/sidecap/sidecap.sty","","","doc ml single cnn | ml single cnn | nn back propagation neuralnet",""
"siunitx","4","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/siunitx/siunitx.sty","src/tex-text.js + src/interpreter.js circuitikz labels","","isotherms | maxwell boltzmann distribution | zt vs n | pgfplotstable pgfcalendar",""
"stanli","219","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/stanli/stanli.sty","src/extensions/stanli.js","","example tikzpicture 001 | example tikzpicture 002 | stanli tikzpicture 001 | stanli tikzpicture 003 | stanli tikzpicture 004 | stanli tikzpicture 005 | stanli tikzpicture 006 | stanli tikzpicture 007 | stanli tikzpicture 008 | stanli tikzpicture 009 | stanli tikzpicture 010 | stanli tikzpicture 011",""
"sunitx","1","partial","","src/tex-text.js","","pgfplotstable sunitx",""
"tabularx","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/tabularx.sty","","","table color",""
"tcolorbox","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tcolorbox/tcolorbox.sty","","","impact os model layers | table color",""
"textcomp","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/base/textcomp.sty","","","noise diagram",""
"tikz","1077","builtin","/usr/local/texlive/2025/texmf-dist/tex/latex/pgf/frontendlayer/tikz.sty","src/parser.js + src/interpreter.js + src/renderer-svg.js","pgf pgffor","1D 2D cross connection / 1d 2d_cross connection | 2D Convolution / 2d_convolution | À trous convolutions / a_trous_convolutions | A3C execution / a3c_execution | A3C neural network / a3c_neural_network | Amplitude modulation / amplitude_modulation | Bidirectional long short term memory / bidirectional_long_short term_memory | BWT / bwt | Convolutional autoencoder / convolutional_autoencoder | Convolutional cross connection / convolutional_cross connection | Coordinate systems / coordinate_systems | CRT rendering / crt_rendering","TeX Live tikz.sty loads pgf and pgffor, then inputs tikz.code.tex."
"tikz-3dplot","15","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-3dplot/tikz-3dplot.sty","src/extensions/tikz-3dplot.js","","Main coordinate frame | Rotated coordinate frame | Spherical point projections | Spherical angle arcs | 3D rotated frame with spherical guides | euler angles | 3d cylinder planes 3d | 3d physics jet cones 3d physics | 3d plane sine wave | 3d seismic focal mechanism 3d set foreach eng | elem cylinder elem 3d foreach function | elem grid RBG draw lines elem 3d pgf foreach",""
"tikz-bagua","5","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-bagua/tikz-bagua.sty","src/extensions/tikz-bagua.js","","Taiji symbols | Liangyi and sixiang symbols | Eight trigrams | Six-line hexagrams | Bagua ring composition",""
"tikz-cd","2","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-cd/tikz-cd.sty","src/extensions/tikz-cd.js","","Commutative diagram pullback square | TikZ-CD grid with diagonal maps",""
"tikz-decofonts","2","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-decofonts/tikz-decofonts.sty","src/extensions/tikz-decofonts.js","","Decorative text effects | Decorative text sampler",""
"tikz-dimline","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-dimline/tikz-dimline.sty","src/extensions/tikz-dimline.js","","Dimension lines with extension paths",""
"tikz-feynhand","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-feynhand/tikz-feynhand.sty","src/extensions/tikz-feynhand.js","","FeynHand vertices and propagators",""
"tikz-feynman","4","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-feynman/tikz-feynman.sty","src/extensions/tikz-feynman.js","","TikZ-Feynman explicit vertices and propagators | feynman diagram loop | feynman diagram loops | gravitons",""
"tikz-network","7","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-network/tikz-network.sty","src/extensions/tikz-network.js","","Styled directed network with loops | iso network ex doc 4 13 elem network | network complex networks only layer1 | network complex networks | network layers and layouts | network multilayer | network read csv",""
"tikz-palattice","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-palattice/tikz-palattice.sty","src/extensions/tikz-palattice.js","","Particle accelerator lattice elements",""
"tikz-qtree","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikz-qtree/tikz-qtree.sty","src/extensions/tikz-qtree.js","","Qtree linguistic syntax tree",""
"tikz-uml","1","unsupported","","","","pirates games",""
"tikzfxgraph","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikzfxgraph/tikzfxgraph.sty","src/extensions/tikzfxgraph.js","","Tikzfxgraph wrapped pgfplots graph",""
"tikzpeople","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tikzpeople/tikzpeople.sty","","","drawing and positioning nodes / tikzpeople",""
"tikzquads","1","extension","/usr/local/texlive/2025/texmf-dist/tex/latex/tikzquads/tikzquads.sty","src/extensions/tikzquads.js","","Tikzquads quadripoles and load line",""
"times","4","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/psnfss/times.sty","src/tikz-metrics.js:TIKZ_FONT_FAMILY","","inertial system color diagram pgf command def layer | mind scientific interactions mindmap | table comparison many | table comparison med",""
"tkz-berge","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tkz-berge/tkz-berge.sty","","","nn 08 tkz berge 01 neuralnet scope foreach pkg",""
"tkz-fct","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tkz-fct/tkz-fct.sty","","","plot shading regions geometry pgf command def",""
"tkz-graph","5","partial","/usr/local/texlive/2025/texmf-dist/tex/latex/tkz-graph/tkz-graph.sty","src/preprocess.js:expandTkzGraphMacros","","de Bruijn graph / de_bruijn_graph | Hamiltonian graph / hamiltonian_graph | Maximum flow problem / maximum_flow_problem | Shortest path problem / shortest_path_problem | hamiltonian graph",""
"ulem","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/generic/ulem/ulem.sty","","","ai artificial intelligence aiama arr | ai artificial intelligence jmccarthy arr",""
"units","1","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/units/units.sty","","","3d hypersurface 3",""
"verbatim","50","noop","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/verbatim.sty","src/preprocess.js:stripTexDocumentShell","","3d cone intersection 3d pgf.lualatex | 3d cylinder planes 3d | 3d seismic focal mechanism 3d set foreach eng | 3d torus function 3d | animation dynamic labels | class diagram diagram | fileIO airfoil from data | fileIO plot curves read data fileio plot pgf | fileIO table read data fileio pgf table | fileIO time read data timeline fileio pgf foreach text | flow android lifecycle block style learn | flow direction of arrival diagram matrrix table",""
"xcolor","333","builtin","/usr/local/texlive/2025/texmf-dist/tex/latex/xcolor/xcolor.sty","src/preprocess.js:collectColorDefinitions","","A3C neural network / a3c_neural_network | Reinforcement learning greedy policy / reinforcement_learning_greedy_policy | 3d gradient colored | 3d hypersurface 3 | ai artificial intelligence aiama arr | ai artificial intelligence jmccarthy arr | ai computational intelligence pool,mackworth arr | elem physics arrows to nodes elem phsyics | impact concentric blocks diagram | impact market sector diagram | nn encoder 2pages 3figs neuralnet | nn 06 manual net color neuralnet foreach style","Implemented as color definition and color macro normalization rather than full xcolor state."
"xspace","3","unsupported","/usr/local/texlive/2025/texmf-dist/tex/latex/tools/xspace.sty","","","mind 2nd level concentric mindmap | mind 2nd level reactangular frame mindmap | scenario tree diagram",""
"xstring","2","unsupported","/usr/local/texlive/2025/texmf-dist/tex/generic/xstring/xstring.sty","","","made | variational autoencoder",""
